WELLNAME = well99
STDEP  =  3500.0000    
ENDEP  =  4670.4375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH1

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH1         
3527.3750    47.1247      23.0720      19.4689      18.6947      3832.0212    738.3358     0.0000       212.5961     0.0000       
3527.5000    47.3514      22.9720      19.9668      19.1429      4154.4346    743.8273     0.0000       212.5332     0.0000       
3527.6250    47.5025      22.9719      20.8633      18.9932      3875.1121    754.8767     0.0000       212.5329     0.0000       
3527.7500    47.5778      22.8720      21.5605      18.8933      3371.2617    763.2953     0.0000       212.4702     0.0000       
3527.8750    47.5776      22.8718      22.4570      18.8932      3383.9744    771.7984     0.0000       212.4073     0.0000       
3528.0000    47.5773      22.8715      23.2539      19.2915      3722.8633    783.2637     0.0000       212.4067     0.0000       
3528.1250    47.5770      22.7717      24.3496      19.5903      4036.0457    800.7615     0.0000       212.4062     0.0000       
3528.2500    47.5768      22.7714      25.0469      18.7929      4359.6177    806.7181     0.0000       212.4057     0.0000       
3528.3750    47.6522      22.7714      24.5483      18.6931      4249.4678    769.2139     0.0000       212.4052     0.0000       
3528.5000    47.7275      22.7712      26.9395      18.9419      3656.4734    722.7709     0.0000       212.4048     0.0000       
3528.6250    47.9542      22.7708      28.2346      18.9418      2677.3318    640.4323     0.0000       212.4044     0.0000       
3528.7500    48.1809      22.6708      27.4372      18.2938      1869.1027    541.0433     0.0000       212.4040     0.0000       
3528.8750    48.8614      22.6708      28.1343      18.3932      696.9068     440.6166     0.0000       212.4035     0.0000       
3529.0000    49.7688      22.6705      29.2302      18.7418      233.6241     248.6550     0.0000       212.4031     0.0000       
3529.1250    50.7519      22.6705      30.5252      19.3395      173.5884     200.2856     0.0000       212.4025     0.0000       
3529.2500    51.5836      22.6703      31.6211      19.5386      106.1945     184.7716     0.0000       212.4019     0.0000       
3529.3750    51.8102      22.6699      33.9127      18.9903      93.0646      174.8923     0.0000       212.4015     0.0000       
3529.5000    51.8098      22.6697      35.7061      18.7410      87.7659      172.9901     0.0000       212.4010     0.0000       
3529.6250    51.8095      22.6697      34.8089      19.7871      84.9214      180.1269     0.0000       212.4006     0.0000       
3529.7500    51.8092      22.6693      33.6129      20.2851      82.7750      180.8011     0.0000       212.4002     0.0000       
3529.8750    51.8088      22.6690      31.6195      19.6870      81.5747      174.9419     0.0000       212.3996     0.0000       
3530.0000    51.8085      22.6690      32.3168      19.0391      80.3917      175.5987     0.0000       212.3991     0.0000       
3530.1250    51.8081      22.6687      33.0140      18.3911      80.9898      175.6107     0.0000       212.3987     0.0000       
3530.2500    51.8078      22.6684      32.4157      18.0920      85.2629      171.1708     0.0000       212.3982     0.0000       
3530.3750    51.9588      22.6684      33.3123      17.2946      91.0882      164.4130     0.0000       212.3978     0.0000       
3530.5000    52.0340      22.6681      32.7141      16.8460      101.3194     155.6235     0.0000       212.3973     0.0000       
3530.6250    52.0337      22.6679      32.6142      16.8458      115.2064     160.2687     0.0000       212.3968     0.0000       
3530.7500    51.7309      22.6676      32.6138      17.0947      127.6763     172.4800     0.0000       212.4586     0.0000       
